Date,Category,Description,Amount
18/02/2024,Travel,Credit,$7.97
19/10/2023,Food,Credit,$11.79
29/03/2024,Category,Credit,$51.49
11/05/2023,Entertainment,Debit,$51.23
05/08/2023,Entertainment,Debit,$65.96
30/11/2023,Transport,Credit,$94.98
29/09/2023,Travel,Debit,$99.54
13/12/2023,Category,Debit,$48.34
09/01/2024,Category,Debit,$73.29
03/03/2024,Personal Care,Credit,$81.15
16/07/2023,Category,Debit,$97.87
07/01/2024,Travel,Debit,$90.64
10/11/2023,Personal Care,Debit,$20.95
03/02/2024,Category,Debit,$53.38
20/04/2024,Category,Credit,$41.78
23/05/2023,Social Activities,Credit,$66.10
23/08/2023,Entertainment,Credit,$41.80
09/11/2023,Gifts & Donations,Debit,$80.85
31/03/2024,Food,Debit,$67.04
09/12/2023,Personal Care,Credit,$75.15
13/02/2024,Travel,Debit,$83.72
21/02/2023,Entertainment,Debit,$95.14
31/01/2024,Personal Care,Credit,$19.32
22/02/2024,Entertainment,Debit,$62.41
06/05/2024,Gifts & Donations,Debit,$41.00
27/06/2023,Category,Debit,$19.05
15/12/2023,Travel,Debit,$98.46
31/05/2023,Entertainment,Debit,$12.01
30/01/2024,Food,Credit,$42.69
11/03/2024,Entertainment,Credit,$75.63
06/02/2024,Food,Debit,$68.44
14/01/2024,Category,Credit,$55.30
17/09/2023,Entertainment,Debit,$22.88
15/05/2024,Gifts & Donations,Credit,$71.41
02/10/2023,Social Activities,Credit,$90.98
17/06/2024,Personal Care,Credit,$48.28
23/05/2024,Travel,Debit,$88.08
23/01/2024,Gifts & Donations,Debit,$25.22
15/06/2024,Social Activities,Credit,$30.27
31/05/2023,Entertainment,Debit,$57.85
03/02/2023,Food,Debit,$29.09
25/02/2023,Gifts & Donations,Credit,$96.93
27/11/2023,Entertainment,Credit,$78.25
04/04/2024,Travel,Credit,$19.72
11/06/2024,Personal Care,Debit,$12.16
06/01/2023,Category,Debit,$52.98
05/02/2023,Category,Debit,$55.29
20/05/2023,Transport,Credit,$43.84
16/01/2023,Medical Expenses,Debit,$59.28
25/03/2023,Personal Care,Debit,$11.67
20/03/2023,Entertainment,Credit,$6.43
25/09/2023,Gifts & Donations,Debit,$59.36
20/12/2023,Food,Credit,$44.84
26/01/2023,Category,Credit,$50.42
13/12/2023,Medical Expenses,Debit,$64.34
07/03/2023,Personal Care,Debit,$50.58
26/02/2023,Transport,Credit,$53.12
19/04/2024,Entertainment,Credit,$5.61
11/12/2023,Transport,Credit,$41.72
01/10/2023,Food,Debit,$95.57
01/03/2023,Social Activities,Debit,$5.21
01/06/2023,Medical Expenses,Credit,$47.62
28/02/2024,Medical Expenses,Credit,$44.78
15/01/2023,Food,Debit,$55.20
29/02/2024,Social Activities,Debit,$63.45
25/08/2023,Social Activities,Credit,$75.22
19/01/2024,Personal Care,Credit,$6.11
29/03/2024,Food,Debit,$25.88
12/09/2023,Food,Credit,$14.45
24/03/2023,Medical Expenses,Debit,$85.41
13/02/2024,Transport,Credit,$79.02
12/03/2023,Food,Debit,$70.18
17/01/2023,Food,Debit,$60.14
20/07/2023,Food,Debit,$75.33
28/05/2024,Category,Debit,$10.00
19/06/2024,Travel,Debit,$35.22
09/02/2023,Entertainment,Credit,$90.71
09/07/2023,Social Activities,Debit,$71.97
09/06/2023,Gifts & Donations,Debit,$57.23
13/02/2023,Transport,Debit,$24.40
10/04/2023,Food,Credit,$20.06
11/05/2023,Food,Debit,$40.63
24/02/2023,Travel,Debit,$13.99
04/04/2024,Personal Care,Debit,$56.94
23/04/2023,Entertainment,Credit,$53.35
29/05/2024,Personal Care,Credit,$15.44
19/09/2023,Social Activities,Credit,$67.51
16/03/2024,Transport,Credit,$51.29
27/09/2023,Transport,Debit,$33.72
08/09/2023,Entertainment,Credit,$70.45
05/02/2024,Medical Expenses,Debit,$24.60
11/10/2023,Social Activities,Debit,$28.24
01/06/2024,Gifts & Donations,Credit,$52.11
28/04/2023,Transport,Debit,$43.97
27/01/2024,Medical Expenses,Credit,$10.11
10/01/2023,Category,Credit,$82.59
10/12/2023,Category,Debit,$12.08
12/06/2023,Social Activities,Debit,$9.26
18/04/2023,Food,Credit,$78.11
23/10/2023,Food,Debit,$82.38
27/11/2023,Travel,Debit,$44.68
19/01/2023,Entertainment,Credit,$44.76
23/08/2023,Gifts & Donations,Credit,$73.18
12/02/2024,Category,Credit,$41.23
03/06/2024,Entertainment,Debit,$16.03
20/03/2023,Category,Debit,$22.36
15/06/2023,Social Activities,Debit,$85.35
08/05/2023,Gifts & Donations,Debit,$90.31
05/11/2023,Medical Expenses,Debit,$97.16
09/08/2023,Category,Credit,$44.57
08/09/2023,Personal Care,Credit,$41.57
10/06/2023,Medical Expenses,Credit,$11.79
14/12/2023,Food,Debit,$61.03
13/10/2023,Travel,Debit,$10.35
18/05/2023,Gifts & Donations,Debit,$43.65
21/03/2023,Food,Credit,$78.09
19/05/2024,Medical Expenses,Credit,$26.04
16/08/2023,Travel,Credit,$14.22
14/08/2023,Gifts & Donations,Credit,$53.16
12/01/2023,Entertainment,Debit,$47.02
16/02/2024,Transport,Credit,$73.37
29/09/2023,Social Activities,Debit,$26.75
03/02/2024,Personal Care,Debit,$12.65
03/04/2024,Gifts & Donations,Debit,$20.71
08/02/2023,Personal Care,Debit,$46.91
21/09/2023,Medical Expenses,Debit,$34.52
05/06/2023,Gifts & Donations,Credit,$88.21
08/05/2024,Social Activities,Credit,$58.02
12/01/2023,Travel,Debit,$100.63
06/06/2023,Food,Credit,$95.38
10/01/2023,Travel,Credit,$84.33
11/10/2023,Gifts & Donations,Credit,$19.68
15/03/2024,Food,Debit,$80.73
30/05/2024,Medical Expenses,Credit,$82.22
09/03/2023,Transport,Credit,$45.29
20/04/2023,Category,Credit,$97.47
03/01/2024,Gifts & Donations,Debit,$76.80
30/07/2023,Medical Expenses,Credit,$75.99
26/12/2023,Medical Expenses,Credit,$99.90
28/01/2023,Entertainment,Credit,$42.07
13/05/2023,Transport,Debit,$91.95
24/06/2023,Gifts & Donations,Debit,$69.39
30/12/2023,Medical Expenses,Credit,$74.15
25/04/2024,Travel,Credit,$54.51
25/04/2024,Social Activities,Credit,$57.54
20/10/2023,Transport,Credit,$84.57
27/03/2023,Gifts & Donations,Credit,$38.94
23/11/2023,Medical Expenses,Credit,$62.30
17/01/2023,Category,Debit,$30.04
15/11/2023,Gifts & Donations,Debit,$89.81
11/04/2023,Food,Credit,$72.26
23/09/2023,Personal Care,Debit,$41.64
22/09/2023,Category,Debit,$89.11
15/04/2023,Food,Credit,$94.90
18/09/2023,Transport,Debit,$66.29
04/01/2023,Category,Debit,$33.34
16/04/2024,Social Activities,Debit,$32.94
11/11/2023,Entertainment,Debit,$52.81
25/02/2024,Entertainment,Credit,$8.26
03/02/2023,Food,Debit,$86.31
11/05/2024,Social Activities,Debit,$69.46
27/07/2023,Travel,Debit,$96.80
21/09/2023,Personal Care,Debit,$92.26
11/04/2023,Transport,Credit,$74.75
14/11/2023,Medical Expenses,Debit,$46.92
27/04/2023,Travel,Debit,$97.09
04/04/2023,Travel,Debit,$73.03
28/06/2023,Transport,Debit,$40.51
30/05/2024,Medical Expenses,Debit,$15.99
13/05/2023,Travel,Credit,$7.66
20/12/2023,Medical Expenses,Debit,$48.66
10/12/2023,Personal Care,Credit,$22.04
06/01/2024,Category,Credit,$86.34
15/01/2023,Social Activities,Credit,$8.01
28/10/2023,Medical Expenses,Debit,$32.73
05/01/2024,Travel,Debit,$41.05
03/05/2023,Social Activities,Debit,$35.44
02/09/2023,Travel,Debit,$51.64
04/09/2023,Food,Debit,$56.07
18/01/2024,Food,Debit,$43.88
04/01/2024,Category,Debit,$19.85
29/09/2023,Gifts & Donations,Credit,$87.85
14/06/2024,Personal Care,Credit,$43.46
26/02/2023,Medical Expenses,Debit,$34.89
24/03/2024,Social Activities,Credit,$31.48
17/07/2023,Entertainment,Credit,$20.06
25/10/2023,Transport,Credit,$76.85
19/01/2023,Social Activities,Credit,$45.71
06/08/2023,Travel,Debit,$73.44
02/01/2023,Gifts & Donations,Credit,$71.57
24/10/2023,Social Activities,Debit,$89.84
08/08/2023,Medical Expenses,Debit,$45.03
19/10/2023,Personal Care,Credit,$68.44
20/01/2024,Travel,Debit,$62.66
20/08/2023,Transport,Debit,$10.57
25/09/2023,Transport,Credit,$46.13
09/06/2024,Travel,Credit,$10.97
11/05/2023,Personal Care,Debit,$70.48
01/04/2023,Travel,Debit,$15.25
25/08/2023,Food,Credit,$89.60
11/06/2023,Category,Credit,$88.66
10/01/2023,Category,Credit,$62.90
08/06/2023,Transport,Debit,$59.06
06/11/2023,Food,Debit,$21.70
02/08/2023,Travel,Credit,$79.55
05/02/2024,Social Activities,Credit,$39.45
27/03/2024,Food,Credit,$13.00
12/06/2024,Travel,Debit,$55.46
21/02/2023,Medical Expenses,Credit,$5.12
13/03/2023,Medical Expenses,Credit,$75.08
18/05/2023,Category,Debit,$6.92
18/04/2024,Personal Care,Credit,$35.49
30/01/2024,Personal Care,Debit,$59.41
27/12/2023,Gifts & Donations,Debit,$23.08
25/11/2023,Transport,Debit,$60.08
20/10/2023,Category,Credit,$99.91
05/08/2023,Travel,Debit,$10.58
23/11/2023,Transport,Credit,$17.71
29/03/2023,Travel,Credit,$80.64
18/05/2023,Food,Debit,$36.11
24/08/2023,Travel,Debit,$81.57
27/04/2024,Social Activities,Credit,$83.27
20/12/2023,Category,Credit,$19.00
06/07/2023,Transport,Credit,$52.06
23/01/2024,Food,Debit,$98.97
23/01/2024,Personal Care,Credit,$24.52
30/11/2023,Personal Care,Credit,$90.13
13/03/2024,Travel,Debit,$40.50
17/06/2023,Gifts & Donations,Debit,$16.01
29/06/2023,Transport,Credit,$44.88
14/04/2023,Medical Expenses,Credit,$20.02
02/03/2023,Gifts & Donations,Credit,$93.20
29/05/2024,Social Activities,Credit,$100.44
10/08/2023,Travel,Debit,$78.75
15/01/2023,Category,Credit,$39.00
03/01/2024,Travel,Credit,$72.06
27/01/2023,Social Activities,Debit,$74.70
02/03/2024,Medical Expenses,Debit,$59.78
22/03/2023,Medical Expenses,Credit,$70.60
28/09/2023,Personal Care,Credit,$70.84
27/12/2023,Social Activities,Debit,$88.54
06/09/2023,Transport,Debit,$97.13
04/01/2024,Transport,Credit,$58.11
12/08/2023,Category,Debit,$10.69
23/09/2023,Category,Credit,$63.09
09/05/2024,Category,Credit,$55.88
09/03/2024,Social Activities,Debit,$42.19
16/06/2023,Personal Care,Debit,$75.85
09/08/2023,Food,Debit,$37.05
03/12/2023,Social Activities,Credit,$68.14
19/06/2023,Food,Debit,$98.91
01/06/2023,Travel,Debit,$57.13
21/05/2024,Gifts & Donations,Debit,$39.45
18/06/2024,Personal Care,Credit,$78.67
14/03/2024,Entertainment,Credit,$35.25
23/01/2024,Gifts & Donations,Credit,$52.13
27/12/2023,Travel,Debit,$44.05
24/11/2023,Travel,Credit,$68.90
05/10/2023,Travel,Debit,$95.06
19/05/2024,Social Activities,Credit,$59.17
05/04/2023,Gifts & Donations,Debit,$19.65
29/11/2023,Gifts & Donations,Credit,$98.71
20/06/2023,Food,Debit,$72.65
18/06/2023,Food,Credit,$90.47
17/04/2023,Travel,Credit,$9.53
24/01/2023,Personal Care,Credit,$35.38
10/01/2023,Category,Debit,$81.88
03/04/2023,Gifts & Donations,Debit,$26.16
04/02/2023,Entertainment,Credit,$18.89
13/11/2023,Social Activities,Credit,$50.57
18/02/2023,Category,Credit,$57.19
21/10/2023,Gifts & Donations,Credit,$23.91
04/01/2024,Medical Expenses,Debit,$60.23
18/04/2024,Travel,Credit,$100.25
21/02/2024,Transport,Credit,$99.01
13/01/2024,Social Activities,Debit,$70.46
19/04/2024,Entertainment,Debit,$9.72
14/09/2023,Category,Debit,$85.81
03/05/2024,Medical Expenses,Debit,$46.60
11/05/2024,Transport,Credit,$21.29
01/02/2023,Category,Credit,$47.18
12/04/2024,Transport,Debit,$99.01
28/04/2023,Entertainment,Debit,$63.94
23/05/2023,Category,Credit,$21.15
30/01/2024,Food,Debit,$30.15
26/01/2024,Category,Debit,$21.32
14/11/2023,Travel,Credit,$91.65
13/03/2023,Category,Credit,$90.32
05/05/2024,Personal Care,Credit,$83.30
07/01/2023,Medical Expenses,Credit,$24.82
05/05/2023,Personal Care,Credit,$88.74
31/08/2023,Category,Credit,$83.64
21/12/2023,Personal Care,Debit,$6.99
20/05/2023,Gifts & Donations,Credit,$46.79
14/07/2023,Social Activities,Credit,$17.73
06/02/2024,Food,Debit,$86.83
16/03/2024,Medical Expenses,Credit,$49.75
30/03/2023,Medical Expenses,Credit,$39.58
30/12/2023,Transport,Credit,$11.61
11/01/2023,Medical Expenses,Credit,$17.59
28/07/2023,Entertainment,Credit,$13.20
13/05/2024,Social Activities,Credit,$51.48
19/10/2023,Travel,Debit,$31.46
01/08/2023,Category,Debit,$85.51
29/09/2023,Social Activities,Credit,$49.37
19/04/2023,Social Activities,Debit,$93.63
11/10/2023,Category,Debit,$44.78
19/12/2023,Gifts & Donations,Debit,$43.71
24/02/2024,Transport,Credit,$68.66
14/06/2023,Personal Care,Debit,$24.11
22/01/2024,Travel,Debit,$100.91
17/08/2023,Food,Credit,$9.85
06/04/2023,Gifts & Donations,Debit,$26.84
03/08/2023,Entertainment,Credit,$54.86
13/05/2024,Food,Credit,$38.07
11/08/2023,Entertainment,Credit,$63.88
07/08/2023,Food,Credit,$67.79
06/12/2023,Travel,Credit,$24.11
22/03/2024,Gifts & Donations,Credit,$66.78
10/09/2023,Social Activities,Debit,$95.62
22/09/2023,Category,Credit,$40.95
15/05/2024,Travel,Credit,$23.33
07/02/2024,Entertainment,Debit,$82.84
28/05/2023,Entertainment,Credit,$45.16
24/03/2024,Category,Debit,$23.62
06/05/2024,Food,Debit,$82.93
21/04/2024,Social Activities,Credit,$72.12
05/09/2023,Social Activities,Credit,$43.49
06/05/2024,Category,Debit,$83.58
25/12/2023,Entertainment,Credit,$11.29
25/08/2023,Gifts & Donations,Credit,$91.68
19/11/2023,Transport,Credit,$59.08
25/10/2023,Food,Debit,$62.76
01/10/2023,Entertainment,Credit,$51.77
10/05/2023,Category,Credit,$88.16
17/06/2024,Social Activities,Credit,$58.15
05/09/2023,Travel,Debit,$86.79
21/12/2023,Personal Care,Credit,$84.81
27/05/2023,Social Activities,Credit,$56.37
13/08/2023,Food,Credit,$34.86
08/12/2023,Travel,Debit,$48.78
09/01/2024,Entertainment,Debit,$56.28
01/12/2023,Category,Credit,$40.56
14/02/2023,Gifts & Donations,Credit,$98.70
08/03/2023,Travel,Debit,$36.61
20/06/2024,Travel,Credit,$66.68
26/05/2023,Medical Expenses,Debit,$56.68
07/02/2024,Transport,Debit,$43.90
29/09/2023,Medical Expenses,Credit,$28.51
09/01/2023,Category,Credit,$40.79
08/07/2023,Personal Care,Credit,$90.80
14/01/2024,Category,Credit,$52.45
16/08/2023,Category,Debit,$86.94
04/05/2024,Food,Credit,$92.03
01/08/2023,Food,Debit,$62.39
26/09/2023,Food,Credit,$100.17
